ids	values
9606.ENSP00000264649	0.0029405614
9606.ENSP00000302234	0.0029437598
9606.ENSP00000266041	0.0029453519
9606.ENSP00000379047	0.002953411
9606.ENSP00000352185	0.0029677032
9606.ENSP00000296438	0.0029728592
9606.ENSP00000323945	0.0029999423
9606.ENSP00000457241	0.0030091405
9606.ENSP00000216629	0.0030571693
9606.ENSP00000386538	0.0031193383
9606.ENSP00000263800	0.0031310457
9606.ENSP00000383719	0.0031430903
9606.ENSP00000325239	0.0031452302
9606.ENSP00000329943	0.0031678972
9606.ENSP00000363809	0.003214973
9606.ENSP00000291041	0.0032500923
9606.ENSP00000269576	0.003289699
9606.ENSP00000416696	0.0033087195
9606.ENSP00000366340	0.0033293182
9606.ENSP00000447053	0.0033600426
9606.ENSP00000366404	0.0034009973
9606.ENSP00000359206	0.003404515
9606.ENSP00000493439	0.003438869
9606.ENSP00000378118	0.0034713158
9606.ENSP00000322439	0.003492747
9606.ENSP00000268802	0.003532198
9606.ENSP00000442460	0.0035540578
9606.ENSP00000251413	0.003557108
9606.ENSP00000419119	0.0036290695
9606.ENSP00000324056	0.0036540562
9606.ENSP00000321684	0.0036597003
9606.ENSP00000309432	0.0036813323
9606.ENSP00000302895	0.003693395
9606.ENSP00000496577	0.0037003865
9606.ENSP00000367747	0.0037147154
9606.ENSP00000343103	0.0037352538
9606.ENSP00000264709	0.0037499615
9606.ENSP00000254051	0.0037719265
9606.ENSP00000305918	0.0037857487
9606.ENSP00000378917	0.0038302562
9606.ENSP00000371798	0.0038304338
9606.ENSP00000381104	0.0038394388
9606.ENSP00000356919	0.0038603882
9606.ENSP00000237172	0.003861687
9606.ENSP00000367668	0.0038795676
9606.ENSP00000482457	0.0039059874
9606.ENSP00000325827	0.0039471956
9606.ENSP00000371194	0.003955826
9606.ENSP00000333395	0.0040038256
9606.ENSP00000475261	0.0040949644
9606.ENSP00000305480	0.0041199327
9606.ENSP00000455229	0.0041464143
9606.ENSP00000366384	0.004167362
9606.ENSP00000358918	0.0041897846
9606.ENSP00000408979	0.004189827
9606.ENSP00000346694	0.0042095697
9606.ENSP00000498611	0.004256318
9606.ENSP00000264637	0.004296752
9606.ENSP00000268182	0.0042968397
9606.ENSP00000336687	0.0043045585
9606.ENSP00000223864	0.0043066074
9606.ENSP00000446880	0.0043108705
9606.ENSP00000380044	0.004331128
9606.ENSP00000500094	0.0043313587
9606.ENSP00000278980	0.0043370365
9606.ENSP00000257118	0.0043536997
9606.ENSP00000382204	0.004362064
9606.ENSP00000397566	0.004375706
9606.ENSP00000264260	0.004396774
9606.ENSP00000186436	0.0044984194
9606.ENSP00000356076	0.004501495
9606.ENSP00000481054	0.0045138076
